SMSA_name,Per_capita_Retail_sales ,Per_capita_Retail_Establishments,Per_capita_income,Per_capita_federal_expenditures,Males_per_100_females 
"Dubuque, IA",8.167,1.245,18.098,3.096,94
"Durham, NC",7.93,1.082,20.788,5.635,90
"Dutchess, NY",7.69,1.184,22.53,2.938,101
"Duval, FL",8.652,0.952,18.619,5.263,97
"East Baton Rouge, LA",8.529,0.904,18.755,4.378,92
"Eaton, MI",7.271,0.864,18.649,4.921,95
"Eau Claire, WI",9.068,1.13,16.84,3.076,93
"Ector, TX",7.399,1.075,14.637,2.167,96
"Edgecombe, NC",4.219,0.812,14.742,3.355,84
"Edgefield, SC",4.131,0.89,14.124,2.837,94
"Effingham, GA",3.269,0.551,14.632,1.711,101
"El Dorado, CA",6.413,1.207,20.39,2.381,100
"El Paso, CO",8.389,1.027,18.36,6.343,101
"El Paso, TX",6.969,0.844,12.411,3.761,94
"Elkhart, IN",7.992,1.105,18.575,2.159,96
"Ellis, TX",5.064,0.98,17.022,7.41,98
"Elmore, AL",4.535,1.017,14.78,2.92,103
"Erie, NY",7.616,1.005,19.725,3.933,91
"Erie, PA",7.597,1.022,17.991,3.292,94
"Escambia, FL",8.569,1.056,16.334,6.177,95
"Essex, MA",7.628,1.072,23.129,5.427,92
"Essex, NJ",6.014,0.875,26.39,4.91,90
"Etowah, AL",6.482,1.122,15.323,3.962,90
"Fairfax, VA",8.61,0.855,32.359,7.36,99
"Fairfield, CT",10.658,1.11,36.316,5.309,93
"Fairfield, OH",5.8,0.952,17.933,2.245,99
"Faulkner, AR",6.416,1.016,15.193,2.423,94
"Fauquier, VA",5.636,0.985,24.795,3.813,101
"Fayette, GA",4.949,0.87,22.733,1.422,98
"Fayette, KY",10.746,1.102,20.863,3.41,92
"Fayette, PA",7.406,1.175,15.177,5.005,91
"Fayette, TN",2.155,0.695,14.344,3.043,95
"Flagler, FL",4.598,0.842,14.692,4.006,92
"Florence, SC",8.972,1.433,16.111,3.189,89
"Floyd, IN",4.681,0.864,18.697,2.698,92
"Fluvanna, VA",1.364,0.617,16.738,2.753,97
"Forrest, MS",9.449,1.282,14.201,3.853,87
